,date,home_team,away_team,home_score,away_score,tournament,delta_goal,win,lose
769,2019-11-17,Bulgaria,Czech Republic,1,0,UEFA Euro qualification,1,1,0
770,2019-11-17,Luxembourg,Portugal,0,2,UEFA Euro qualification,-2,0,1
771,2019-11-17,Serbia,Ukraine,2,2,UEFA Euro qualification,0,0,1
772,2019-11-17,Albania,France,0,2,UEFA Euro qualification,-2,0,1
773,2019-11-17,Andorra,Turkey,0,2,UEFA Euro qualification,-2,0,1
774,2019-11-17,Moldova,Iceland,1,2,UEFA Euro qualification,-1,0,1
775,2019-11-17,Lithuania,New Zealand,1,0,Friendly,1,1,0
776,2019-11-18,São Tomé and Príncipe,Ghana,0,1,African Cup of Nations qualification,-1,0,1
777,2019-11-18,Gambia,DR Congo,2,2,African Cup of Nations qualification,0,0,1
778,2019-11-18,Cape Verde,Mozambique,2,2,African Cup of Nations qualification,0,0,1
780,2019-11-18,Kenya,Togo,1,1,African Cup of Nations qualification,0,0,1
781,2019-11-18,Botswana,Algeria,0,1,African Cup of Nations qualification,-1,0,1
782,2019-11-18,Niger,Madagascar,2,6,African Cup of Nations qualification,-4,0,1
783,2019-11-18,Republic of Ireland,Denmark,1,1,UEFA Euro qualification,0,0,1
784,2019-11-18,Gibraltar,Switzerland,1,6,UEFA Euro qualification,-5,0,1
785,2019-11-18,Malta,Norway,1,2,UEFA Euro qualification,-1,0,1
786,2019-11-18,Spain,Romania,5,0,UEFA Euro qualification,5,1,0
787,2019-11-18,Sweden,Faroe Islands,3,0,UEFA Euro qualification,3,1,0
788,2019-11-18,Italy,Armenia,9,1,UEFA Euro qualification,8,1,0
789,2019-11-18,Liechtenstein,Bosnia and Herzegovina,0,3,UEFA Euro qualification,-3,0,1
790,2019-11-18,Greece,Finland,2,1,UEFA Euro qualification,1,1,0
791,2019-11-18,Argentina,Uruguay,2,2,Friendly,0,0,1
792,2019-11-19,Burundi,Morocco,0,3,African Cup of Nations qualification,-3,0,1
793,2019-11-19,Mauritania,Central African Republic,2,0,African Cup of Nations qualification,2,1,0
794,2019-11-19,Zambia,Zimbabwe,1,2,African Cup of Nations qualification,-1,0,1
795,2019-11-19,Equatorial Guinea,Tunisia,0,1,African Cup of Nations qualification,-1,0,1
796,2019-11-19,Libya,Tanzania,2,1,African Cup of Nations qualification,1,1,0
797,2019-11-19,Ethiopia,Ivory Coast,2,1,African Cup of Nations qualification,1,1,0
798,2019-11-19,Germany,Northern Ireland,6,1,UEFA Euro qualification,5,1,0
799,2019-11-19,Netherlands,Estonia,5,0,UEFA Euro qualification,5,1,0
800,2019-11-19,Wales,Hungary,2,0,UEFA Euro qualification,2,1,0
801,2019-11-19,Slovakia,Azerbaijan,2,0,UEFA Euro qualification,2,1,0
802,2019-11-19,North Macedonia,Israel,1,0,UEFA Euro qualification,1,1,0
803,2019-11-19,Poland,Slovenia,3,2,UEFA Euro qualification,1,1,0
804,2019-11-19,Latvia,Austria,1,0,UEFA Euro qualification,1,1,0
805,2019-11-19,Scotland,Kazakhstan,3,1,UEFA Euro qualification,2,1,0
806,2019-11-19,Belgium,Cyprus,6,1,UEFA Euro qualification,5,1,0
807,2019-11-19,San Marino,Russia,0,5,UEFA Euro qualification,-5,0,1
808,2019-11-19,Brazil,South Korea,3,0,Friendly,3,1,0
809,2019-11-19,Croatia,Georgia,2,1,Friendly,1,1,0
810,2019-11-19,Ecuador,Colombia,0,1,Friendly,-1,0,1
811,2019-11-19,Montenegro,Belarus,2,0,Friendly,2,1,0
813,2019-11-19,Maldives,Guam,3,1,FIFA World Cup qualification,2,1,0
814,2019-11-19,Syria,Philippines,1,0,FIFA World Cup qualification,1,1,0
815,2019-11-19,Nepal,Kuwait,0,1,FIFA World Cup qualification,-1,0,1
816,2019-11-19,Jordan,Taiwan,5,0,FIFA World Cup qualification,5,1,0
818,2019-11-19,Hong Kong,Cambodia,2,0,FIFA World Cup qualification,2,1,0
819,2019-11-19,Uzbekistan,Palestine,2,0,FIFA World Cup qualification,2,1,0
820,2019-11-19,Yemen,Singapore,1,2,FIFA World Cup qualification,-1,0,1
821,2019-11-19,Afghanistan,Qatar,0,1,FIFA World Cup qualification,-1,0,1
822,2019-11-19,Oman,India,1,0,FIFA World Cup qualification,1,1,0
823,2019-11-19,Myanmar,Mongolia,1,0,FIFA World Cup qualification,1,1,0
824,2019-11-19,Kyrgyzstan,Tajikistan,1,1,FIFA World Cup qualification,0,0,1
826,2019-11-19,Malaysia,Indonesia,2,0,FIFA World Cup qualification,2,1,0
827,2019-11-19,Turkmenistan,Sri Lanka,2,0,FIFA World Cup qualification,2,1,0
829,2019-11-21,Guatemala,Antigua and Barbuda,8,0,Friendly,8,1,0
830,2020-01-07,Barbados,Canada,1,4,Friendly,-3,0,1
831,2020-01-09,Moldova,Sweden,0,1,Friendly,-1,0,1
832,2020-01-10,Barbados,Canada,1,4,Friendly,-3,0,1
833,2020-01-12,Kosovo,Sweden,0,1,Friendly,-1,0,1
834,2020-01-15,Canada,Iceland,0,1,Friendly,-1,0,1
835,2020-01-19,El Salvador,Iceland,0,1,Friendly,-1,0,1
836,2020-02-01,United States,Costa Rica,1,0,Friendly,1,1,0
837,2020-09-03,Germany,Spain,1,1,UEFA Nations League,0,0,1
838,2020-09-03,Ukraine,Switzerland,2,1,UEFA Nations League,1,1,0
839,2020-09-03,Russia,Serbia,3,1,UEFA Nations League,2,1,0
840,2020-09-03,Turkey,Hungary,0,1,UEFA Nations League,-1,0,1
841,2020-09-03,Bulgaria,Republic of Ireland,1,1,UEFA Nations League,0,0,1
842,2020-09-03,Finland,Wales,0,1,UEFA Nations League,-1,0,1
843,2020-09-03,Moldova,Kosovo,1,1,UEFA Nations League,0,0,1
846,2020-09-03,Faroe Islands,Malta,3,2,UEFA Nations League,1,1,0
847,2020-09-04,Italy,Bosnia and Herzegovina,1,1,UEFA Nations League,0,0,1
848,2020-09-04,Netherlands,Poland,1,0,UEFA Nations League,1,1,0
849,2020-09-04,Norway,Austria,1,2,UEFA Nations League,-1,0,1
850,2020-09-04,Romania,Northern Ireland,1,1,UEFA Nations League,0,0,1
851,2020-09-04,Scotland,Israel,1,1,UEFA Nations League,0,0,1
852,2020-09-04,Slovakia,Czech Republic,1,3,UEFA Nations League,-2,0,1
853,2020-09-04,Lithuania,Kazakhstan,0,2,UEFA Nations League,-2,0,1
854,2020-09-04,Belarus,Albania,0,2,UEFA Nations League,-2,0,1
855,2020-09-05,Iceland,England,0,1,UEFA Nations League,-1,0,1
856,2020-09-05,Denmark,Belgium,0,2,UEFA Nations League,-2,0,1
857,2020-09-05,Portugal,Croatia,4,1,UEFA Nations League,3,1,0
858,2020-09-05,Sweden,France,0,1,UEFA Nations League,-1,0,1
859,2020-09-05,Cyprus,Montenegro,0,2,UEFA Nations League,-2,0,1
860,2020-09-05,Azerbaijan,Luxembourg,1,2,UEFA Nations League,-1,0,1
861,2020-09-05,North Macedonia,Armenia,2,1,UEFA Nations League,1,1,0
862,2020-09-05,Estonia,Georgia,0,1,UEFA Nations League,-1,0,1
863,2020-09-05,Gibraltar,San Marino,1,0,UEFA Nations League,1,1,0
864,2020-09-06,Spain,Ukraine,4,0,UEFA Nations League,4,1,0
865,2020-09-06,Switzerland,Germany,1,1,UEFA Nations League,0,0,1
866,2020-09-06,Hungary,Russia,2,3,UEFA Nations League,-1,0,1
868,2020-09-06,Wales,Bulgaria,1,0,UEFA Nations League,1,1,0
869,2020-09-06,Republic of Ireland,Finland,0,1,UEFA Nations League,-1,0,1
870,2020-09-06,Slovenia,Moldova,1,0,UEFA Nations League,1,1,0
871,2020-09-06,Kosovo,Greece,1,2,UEFA Nations League,-1,0,1
872,2020-09-06,Andorra,Faroe Islands,0,1,UEFA Nations League,-1,0,1
873,2020-09-06,Malta,Latvia,1,1,UEFA Nations League,0,0,1
874,2020-09-07,Bosnia and Herzegovina,Poland,1,2,UEFA Nations League,-1,0,1
875,2020-09-07,Netherlands,Italy,0,1,UEFA Nations League,-1,0,1
876,2020-09-07,Northern Ireland,Norway,1,5,UEFA Nations League,-4,0,1
877,2020-09-07,Austria,Romania,2,3,UEFA Nations League,-1,0,1
878,2020-09-07,Czech Republic,Scotland,1,2,UEFA Nations League,-1,0,1
879,2020-09-07,Israel,Slovakia,1,1,UEFA Nations League,0,0,1
880,2020-09-07,Kazakhstan,Belarus,1,2,UEFA Nations League,-1,0,1
881,2020-09-07,Albania,Lithuania,0,1,UEFA Nations League,-1,0,1
882,2020-09-08,Belgium,Iceland,5,1,UEFA Nations League,4,1,0
884,2020-09-08,France,Croatia,4,2,UEFA Nations League,2,1,0
885,2020-09-08,Sweden,Portugal,0,2,UEFA Nations League,-2,0,1
886,2020-09-08,Luxembourg,Montenegro,0,1,UEFA Nations League,-1,0,1
887,2020-09-08,Cyprus,Azerbaijan,0,1,UEFA Nations League,-1,0,1
888,2020-09-08,Armenia,Estonia,2,0,UEFA Nations League,2,1,0
889,2020-09-08,Georgia,North Macedonia,1,1,UEFA Nations League,0,0,1
890,2020-09-08,San Marino,Liechtenstein,0,2,UEFA Nations League,-2,0,1
892,2020-10-07,Andorra,Cape Verde,1,2,Friendly,-1,0,1
893,2020-10-07,Austria,Greece,2,1,Friendly,1,1,0
894,2020-10-07,Cyprus,Czech Republic,1,2,Friendly,-1,0,1
895,2020-10-07,Denmark,Faroe Islands,4,0,Friendly,4,1,0
896,2020-10-07,Estonia,Lithuania,1,3,Friendly,-2,0,1
897,2020-10-07,France,Ukraine,7,1,Friendly,6,1,0
898,2020-10-07,Germany,Turkey,3,3,Friendly,0,0,1
899,2020-10-07,Italy,Moldova,6,0,Friendly,6,1,0
900,2020-10-07,Luxembourg,Liechtenstein,1,2,Friendly,-1,0,1
901,2020-10-07,Malta,Gibraltar,2,0,Friendly,2,1,0
902,2020-10-07,Montenegro,Latvia,1,1,Friendly,0,0,1
903,2020-10-07,Netherlands,Mexico,0,1,Friendly,-1,0,1
904,2020-10-07,Poland,Finland,5,1,Friendly,4,1,0
906,2020-10-07,Slovenia,San Marino,4,0,Friendly,4,1,0
907,2020-10-07,Switzerland,Croatia,1,2,Friendly,-1,0,1
908,2020-10-07,Zambia,Malawi,1,0,Friendly,1,1,0
909,2020-10-08,Belgium,Ivory Coast,1,1,Friendly,0,0,1
910,2020-10-08,England,Wales,3,0,Friendly,3,1,0
911,2020-10-08,Russia,Sweden,1,2,Friendly,-1,0,1
912,2020-10-08,South Africa,Namibia,1,1,Friendly,0,0,1
913,2020-10-08,Uzbekistan,Iran,1,2,Friendly,-1,0,1
914,2020-10-08,Paraguay,Peru,2,2,FIFA World Cup qualification,0,0,1
915,2020-10-08,Uruguay,Chile,2,1,FIFA World Cup qualification,1,1,0
916,2020-10-08,Argentina,Ecuador,1,0,FIFA World Cup qualification,1,1,0
917,2020-10-08,Iceland,Romania,2,1,UEFA Euro qualification,1,1,0
918,2020-10-08,Bulgaria,Hungary,1,3,UEFA Euro qualification,-2,0,1
919,2020-10-08,Bosnia and Herzegovina,Northern Ireland,1,1,UEFA Euro qualification,0,0,1
922,2020-10-08,Norway,Serbia,1,2,UEFA Euro qualification,-1,0,1
923,2020-10-08,Georgia,Belarus,1,0,UEFA Euro qualification,1,1,0
924,2020-10-08,North Macedonia,Kosovo,2,1,UEFA Euro qualification,1,1,0
925,2020-10-09,Burkina Faso,DR Congo,3,0,Friendly,3,1,0
926,2020-10-09,Congo,Gambia,0,1,Friendly,-1,0,1
928,2020-10-09,Kenya,Zambia,2,1,Friendly,1,1,0
929,2020-10-09,Mali,Ghana,3,0,Friendly,3,1,0
930,2020-10-09,Mauritania,Sierra Leone,2,1,Friendly,1,1,0
931,2020-10-09,Morocco,Senegal,3,1,Friendly,2,1,0
932,2020-10-09,Nigeria,Algeria,0,1,Friendly,-1,0,1
933,2020-10-09,Tunisia,Sudan,3,0,Friendly,3,1,0
934,2020-10-09,Colombia,Venezuela,3,0,FIFA World Cup qualification,3,1,0
935,2020-10-09,Brazil,Bolivia,5,0,FIFA World Cup qualification,5,1,0
936,2020-10-10,Spain,Switzerland,1,0,UEFA Nations League,1,1,0
937,2020-10-10,Ukraine,Germany,1,2,UEFA Nations League,-1,0,1
938,2020-10-10,Luxembourg,Cyprus,2,0,UEFA Nations League,2,1,0
939,2020-10-10,Montenegro,Azerbaijan,2,0,UEFA Nations League,2,1,0
940,2020-10-10,Faroe Islands,Latvia,1,1,UEFA Nations League,0,0,1
942,2020-10-10,Liechtenstein,Gibraltar,0,1,UEFA Nations League,-1,0,1
943,2020-10-10,Cape Verde,Guinea,1,2,Friendly,-1,0,1
944,2020-10-10,Costa Rica,Panama,0,1,Friendly,-1,0,1
945,2020-10-10,Honduras,Nicaragua,1,1,Friendly,0,0,1
946,2020-10-10,Niger,Chad,2,0,Friendly,2,1,0
949,2020-10-11,England,Belgium,2,1,UEFA Nations League,1,1,0
950,2020-10-11,Iceland,Denmark,0,3,UEFA Nations League,-3,0,1
951,2020-10-11,Croatia,Sweden,2,1,UEFA Nations League,1,1,0
953,2020-10-11,Norway,Romania,4,0,UEFA Nations League,4,1,0
954,2020-10-11,Northern Ireland,Austria,0,1,UEFA Nations League,-1,0,1
955,2020-10-11,Scotland,Slovakia,1,0,UEFA Nations League,1,1,0
956,2020-10-11,Israel,Czech Republic,1,2,UEFA Nations League,-1,0,1
957,2020-10-11,Serbia,Hungary,0,1,UEFA Nations League,-1,0,1
958,2020-10-11,Russia,Turkey,1,1,UEFA Nations League,0,0,1
960,2020-10-11,Finland,Bulgaria,2,0,UEFA Nations League,2,1,0
961,2020-10-11,Armenia,Georgia,2,2,UEFA Nations League,0,0,1
962,2020-10-11,Estonia,North Macedonia,3,3,UEFA Nations League,0,0,1
963,2020-10-11,Kosovo,Slovenia,0,1,UEFA Nations League,-1,0,1
964,2020-10-11,Greece,Moldova,2,0,UEFA Nations League,2,1,0
966,2020-10-11,Lithuania,Belarus,2,2,UEFA Nations League,0,0,1
967,2020-10-11,Gabon,Benin,0,2,Friendly,-2,0,1
969,2020-10-11,South Africa,Zambia,1,2,Friendly,-1,0,1
970,2020-10-11,Tanzania,Burundi,0,1,Friendly,-1,0,1
971,2020-10-12,Burkina Faso,Madagascar,2,1,Friendly,1,1,0
972,2020-10-12,Ghana,Qatar,5,1,Friendly,4,1,0
973,2020-10-12,Togo,Sudan,1,1,Friendly,0,0,1
974,2020-10-12,United Arab Emirates,Uzbekistan,1,2,Friendly,-1,0,1
976,2020-10-13,Germany,Switzerland,3,3,UEFA Nations League,0,0,1
977,2020-10-13,Ukraine,Spain,1,0,UEFA Nations League,1,1,0
979,2020-10-13,Montenegro,Luxembourg,1,2,UEFA Nations League,-1,0,1
980,2020-10-13,Latvia,Malta,0,1,UEFA Nations League,-1,0,1
981,2020-10-13,Faroe Islands,Andorra,2,0,UEFA Nations League,2,1,0
983,2020-10-13,Costa Rica,Panama,0,1,Friendly,-1,0,1
984,2020-10-13,Japan,Ivory Coast,1,0,Friendly,1,1,0
985,2020-10-13,Mexico,Algeria,2,2,Friendly,0,0,1
986,2020-10-13,Morocco,DR Congo,1,1,Friendly,0,0,1
987,2020-10-13,Mozambique,Angola,0,3,Friendly,-3,0,1
988,2020-10-13,Niger,Sierra Leone,1,0,Friendly,1,1,0
989,2020-10-13,Nigeria,Tunisia,1,1,Friendly,0,0,1
990,2020-10-13,Bolivia,Argentina,1,2,FIFA World Cup qualification,-1,0,1
991,2020-10-13,Ecuador,Uruguay,4,2,FIFA World Cup qualification,2,1,0
992,2020-10-13,Venezuela,Paraguay,0,1,FIFA World Cup qualification,-1,0,1
993,2020-10-13,Peru,Brazil,2,4,FIFA World Cup qualification,-2,0,1
994,2020-10-13,Chile,Colombia,2,2,FIFA World Cup qualification,0,0,1
995,2020-10-14,Italy,Netherlands,1,1,UEFA Nations League,0,0,1
996,2020-10-14,Poland,Bosnia and Herzegovina,3,0,UEFA Nations League,3,1,0
997,2020-10-14,Iceland,Belgium,1,2,UEFA Nations League,-1,0,1
998,2020-10-14,England,Denmark,0,1,UEFA Nations League,-1,0,1
999,2020-10-14,Portugal,Sweden,3,0,UEFA Nations League,3,1,0
1000,2020-10-14,Croatia,France,1,2,UEFA Nations League,-1,0,1
1001,2020-10-14,Norway,Northern Ireland,1,0,UEFA Nations League,1,1,0
1002,2020-10-14,Romania,Austria,0,1,UEFA Nations League,-1,0,1
1003,2020-10-14,Scotland,Czech Republic,1,0,UEFA Nations League,1,1,0
1004,2020-10-14,Slovakia,Israel,2,3,UEFA Nations League,-1,0,1
1006,2020-10-14,Turkey,Serbia,2,2,UEFA Nations League,0,0,1
1007,2020-10-14,Finland,Republic of Ireland,1,0,UEFA Nations League,1,1,0
1008,2020-10-14,Bulgaria,Wales,0,1,UEFA Nations League,-1,0,1
1009,2020-10-14,North Macedonia,Georgia,1,1,UEFA Nations League,0,0,1
1010,2020-10-14,Estonia,Armenia,1,1,UEFA Nations League,0,0,1
1012,2020-10-14,Moldova,Slovenia,0,4,UEFA Nations League,-4,0,1
1014,2020-10-14,Belarus,Kazakhstan,2,0,UEFA Nations League,2,1,0
1015,2020-11-06,Ethiopia,Sudan,2,2,Friendly,0,0,1
1016,2020-11-07,Bahrain,Tajikistan,1,0,Friendly,1,1,0
1017,2020-11-11,Albania,Kosovo,2,1,Friendly,1,1,0
1018,2020-11-11,Belgium,Switzerland,2,1,Friendly,1,1,0
1019,2020-11-11,Bulgaria,Gibraltar,3,0,Friendly,3,1,0
1020,2020-11-11,Denmark,Sweden,2,0,Friendly,2,1,0
1021,2020-11-11,France,Finland,0,2,Friendly,-2,0,1
1022,2020-11-11,Germany,Czech Republic,1,0,Friendly,1,1,0
1023,2020-11-11,Greece,Cyprus,2,1,Friendly,1,1,0
1024,2020-11-11,Italy,Estonia,4,0,Friendly,4,1,0
1025,2020-11-11,Lithuania,Faroe Islands,2,1,Friendly,1,1,0
1026,2020-11-11,Luxembourg,Austria,0,3,Friendly,-3,0,1
1027,2020-11-11,Malta,Liechtenstein,3,0,Friendly,3,1,0
1029,2020-11-11,Netherlands,Spain,1,1,Friendly,0,0,1
1030,2020-11-11,Poland,Ukraine,2,0,Friendly,2,1,0
1031,2020-11-11,Portugal,Andorra,7,0,Friendly,7,1,0
1032,2020-11-11,Romania,Belarus,5,3,Friendly,2,1,0
1033,2020-11-11,San Marino,Latvia,0,3,Friendly,-3,0,1
1035,2020-11-11,Turkey,Croatia,3,3,Friendly,0,0,1
1036,2020-11-12,Hungary,Iceland,2,1,UEFA Euro qualification,1,1,0
1037,2020-11-12,Northern Ireland,Slovakia,1,2,UEFA Euro qualification,-1,0,1
1038,2020-11-12,Serbia,Scotland,1,1,UEFA Euro qualification,0,0,1
1039,2020-11-12,Georgia,North Macedonia,0,1,UEFA Euro qualification,-1,0,1
1040,2020-11-12,Bosnia and Herzegovina,Iran,0,2,Friendly,-2,0,1
1041,2020-11-12,England,Republic of Ireland,3,0,Friendly,3,1,0
1043,2020-11-12,Lebanon,Bahrain,1,3,Friendly,-2,0,1
1045,2020-11-12,United Arab Emirates,Tajikistan,3,2,Friendly,1,1,0
1046,2020-11-12,Uzbekistan,Syria,0,1,Friendly,-1,0,1
1048,2020-11-12,Bolivia,Ecuador,2,3,FIFA World Cup qualification,-1,0,1
1049,2020-11-12,Argentina,Paraguay,1,1,FIFA World Cup qualification,0,0,1
1050,2020-11-13,Bangladesh,Nepal,2,0,Friendly,2,1,0
1051,2020-11-13,Costa Rica,Qatar,1,1,Friendly,0,0,1
1052,2020-11-13,Japan,Panama,1,0,Friendly,1,1,0
1053,2020-11-13,Colombia,Uruguay,0,3,FIFA World Cup qualification,-3,0,1
1054,2020-11-13,Chile,Peru,2,0,FIFA World Cup qualification,2,1,0
1055,2020-11-13,Brazil,Venezuela,1,0,FIFA World Cup qualification,1,1,0
1056,2020-11-14,Portugal,France,0,1,UEFA Nations League,-1,0,1
1057,2020-11-14,Sweden,Croatia,2,1,UEFA Nations League,1,1,0
1058,2020-11-14,Germany,Ukraine,3,1,UEFA Nations League,2,1,0
1059,2020-11-14,Switzerland,Spain,1,1,UEFA Nations League,0,0,1
1061,2020-11-14,Cyprus,Luxembourg,2,1,UEFA Nations League,1,1,0
1062,2020-11-14,Malta,Andorra,3,1,UEFA Nations League,2,1,0
1063,2020-11-14,Latvia,Faroe Islands,1,1,UEFA Nations League,0,0,1
1065,2020-11-14,Mexico,South Korea,3,2,Friendly,1,1,0
1066,2020-11-14,Saudi Arabia,Jamaica,3,0,Friendly,3,1,0
1067,2020-11-15,Netherlands,Bosnia and Herzegovina,3,1,UEFA Nations League,2,1,0
1068,2020-11-15,Italy,Poland,2,0,UEFA Nations League,2,1,0
1069,2020-11-15,Belgium,England,2,0,UEFA Nations League,2,1,0
1070,2020-11-15,Denmark,Iceland,2,1,UEFA Nations League,1,1,0
1071,2020-11-15,Austria,Northern Ireland,2,1,UEFA Nations League,1,1,0
1072,2020-11-15,Romania,Norway,3,0,UEFA Nations League,3,1,0
1073,2020-11-15,Slovakia,Scotland,1,0,UEFA Nations League,1,1,0
1074,2020-11-15,Czech Republic,Israel,1,0,UEFA Nations League,1,1,0
1075,2020-11-15,Turkey,Russia,3,2,UEFA Nations League,1,1,0
1076,2020-11-15,Hungary,Serbia,1,1,UEFA Nations League,0,0,1
1077,2020-11-15,Wales,Republic of Ireland,1,0,UEFA Nations League,1,1,0
1078,2020-11-15,Bulgaria,Finland,1,2,UEFA Nations League,-1,0,1
1079,2020-11-15,North Macedonia,Estonia,2,1,UEFA Nations League,1,1,0
1080,2020-11-15,Georgia,Armenia,1,2,UEFA Nations League,-1,0,1
1081,2020-11-15,Slovenia,Kosovo,2,1,UEFA Nations League,1,1,0
1082,2020-11-15,Moldova,Greece,0,2,UEFA Nations League,-2,0,1
1083,2020-11-15,Albania,Kazakhstan,3,1,UEFA Nations League,2,1,0
1084,2020-11-15,Belarus,Lithuania,2,0,UEFA Nations League,2,1,0
1085,2020-11-15,Guatemala,Honduras,2,1,Friendly,1,1,0
1086,2020-11-16,Jordan,Syria,1,0,Friendly,1,1,0
1087,2020-11-16,United Arab Emirates,Bahrain,1,0,Friendly,1,1,0
1088,2020-11-16,United States,Panama,6,2,Friendly,4,1,0
1089,2020-11-16,Basque Country,Costa Rica,2,1,Friendly,1,1,0
1090,2020-11-17,Croatia,Portugal,2,3,UEFA Nations League,-1,0,1
1091,2020-11-17,France,Sweden,4,2,UEFA Nations League,2,1,0
1092,2020-11-17,Spain,Germany,6,0,UEFA Nations League,6,1,0
1093,2020-11-17,Switzerland,Ukraine,3,0,UEFA Nations League,3,1,0
1095,2020-11-17,Montenegro,Cyprus,4,0,UEFA Nations League,4,1,0
1096,2020-11-17,Andorra,Latvia,0,5,UEFA Nations League,-5,0,1
1097,2020-11-17,Malta,Faroe Islands,1,1,UEFA Nations League,0,0,1
1098,2020-11-17,Gibraltar,Liechtenstein,1,1,UEFA Nations League,0,0,1
1100,2020-11-17,Japan,Mexico,0,2,Friendly,-2,0,1
1101,2020-11-17,South Korea,Qatar,2,1,Friendly,1,1,0
1102,2020-11-17,Saudi Arabia,Jamaica,1,2,Friendly,-1,0,1
1103,2020-11-17,Uzbekistan,Iraq,1,2,Friendly,-1,0,1
1104,2020-11-17,Ecuador,Colombia,6,1,FIFA World Cup qualification,5,1,0
1105,2020-11-17,Venezuela,Chile,2,1,FIFA World Cup qualification,1,1,0
1106,2020-11-17,Peru,Argentina,0,2,FIFA World Cup qualification,-2,0,1
1107,2020-11-17,Paraguay,Bolivia,2,2,FIFA World Cup qualification,0,0,1
1108,2020-11-17,Uruguay,Brazil,0,2,FIFA World Cup qualification,-2,0,1
1109,2020-11-18,Bosnia and Herzegovina,Italy,0,2,UEFA Nations League,-2,0,1
1110,2020-11-18,Poland,Netherlands,1,2,UEFA Nations League,-1,0,1
1111,2020-11-18,England,Iceland,4,0,UEFA Nations League,4,1,0
1112,2020-11-18,Belgium,Denmark,4,2,UEFA Nations League,2,1,0
1113,2020-11-18,Northern Ireland,Romania,1,1,UEFA Nations League,0,0,1
1114,2020-11-18,Austria,Norway,1,1,UEFA Nations League,0,0,1
1115,2020-11-18,Czech Republic,Slovakia,2,0,UEFA Nations League,2,1,0
1116,2020-11-18,Israel,Scotland,1,0,UEFA Nations League,1,1,0
1117,2020-11-18,Hungary,Turkey,2,0,UEFA Nations League,2,1,0
1118,2020-11-18,Serbia,Russia,5,0,UEFA Nations League,5,1,0
1120,2020-11-18,Wales,Finland,3,1,UEFA Nations League,2,1,0
1121,2020-11-18,Armenia,North Macedonia,1,0,UEFA Nations League,1,1,0
1123,2020-11-18,Kosovo,Moldova,1,0,UEFA Nations League,1,1,0
1125,2020-11-18,Albania,Belarus,3,2,UEFA Nations League,1,1,0
1126,2020-11-18,Kazakhstan,Lithuania,1,2,UEFA Nations League,-1,0,1
1127,2020-12-04,Qatar,Bangladesh,5,0,FIFA World Cup qualification,5,1,0
1128,2020-12-09,United States,El Salvador,6,0,Friendly,6,1,0
1130,2021-01-18,Kuwait,Palestine,0,1,Friendly,-1,0,1
1131,2021-01-19,Dominican Republic,Puerto Rico,0,1,Friendly,-1,0,1
1132,2021-01-22,Guatemala,Puerto Rico,1,0,Friendly,1,1,0
1134,2021-01-27,Iraq,Kuwait,2,1,Friendly,1,1,0
1136,2021-01-31,United States,Trinidad and Tobago,7,0,Friendly,7,1,0
1137,2021-02-01,Jordan,Tajikistan,2,0,Friendly,2,1,0
1138,2021-02-05,Jordan,Tajikistan,0,1,Friendly,-1,0,1
1139,2021-02-15,Jordan,Uzbekistan,0,2,Friendly,-2,0,1
1140,2021-02-24,Guatemala,Nicaragua,1,0,Friendly,1,1,0
1141,2021-03-13,Kenya,South Sudan,1,0,Friendly,1,1,0
1142,2021-03-15,Kenya,Tanzania,2,1,Friendly,1,1,0
1143,2021-03-17,Ethiopia,Malawi,4,0,Friendly,4,1,0
1145,2021-03-24,Belarus,Honduras,1,1,Friendly,0,0,1
1146,2021-03-24,Jordan,Lebanon,1,0,Friendly,1,1,0
1147,2021-03-24,Kosovo,Lithuania,4,0,Friendly,4,1,0
1148,2021-03-24,Qatar,Luxembourg,1,0,Friendly,1,1,0
1149,2021-03-24,Antigua and Barbuda,Montserrat,2,2,FIFA World Cup qualification,0,0,1
1150,2021-03-24,Suriname,Cayman Islands,3,0,FIFA World Cup qualification,3,1,0
1151,2021-03-24,Guatemala,Cuba,1,0,FIFA World Cup qualification,1,1,0
1152,2021-03-24,Dominican Republic,Dominica,1,0,FIFA World Cup qualification,1,1,0
1153,2021-03-24,Saint Kitts and Nevis,Puerto Rico,1,0,FIFA World Cup qualification,1,1,0
1154,2021-03-24,Portugal,Azerbaijan,1,0,FIFA World Cup qualification,1,1,0
1155,2021-03-24,Serbia,Republic of Ireland,3,2,FIFA World Cup qualification,1,1,0
1156,2021-03-24,France,Ukraine,1,1,FIFA World Cup qualification,0,0,1
1157,2021-03-24,Finland,Bosnia and Herzegovina,2,2,FIFA World Cup qualification,0,0,1
1158,2021-03-24,Belgium,Wales,3,1,FIFA World Cup qualification,2,1,0
1159,2021-03-24,Estonia,Czech Republic,2,6,FIFA World Cup qualification,-4,0,1
1160,2021-03-24,Turkey,Netherlands,4,2,FIFA World Cup qualification,2,1,0
1161,2021-03-24,Gibraltar,Norway,0,3,FIFA World Cup qualification,-3,0,1
1162,2021-03-24,Latvia,Montenegro,1,2,FIFA World Cup qualification,-1,0,1
1163,2021-03-24,Malta,Russia,1,3,FIFA World Cup qualification,-2,0,1
1164,2021-03-24,Slovenia,Croatia,1,0,FIFA World Cup qualification,1,1,0
1166,2021-03-24,Chad,Namibia,0,3,African Cup of Nations qualification,-3,0,1
1167,2021-03-24,Guinea,Mali,1,0,African Cup of Nations qualification,1,1,0
